,time,count,frame
0,2017-10-23 00:00:00.000000000,0,0
1,2017-10-23 00:00:24.164166666,0,1
2,2017-10-23 00:00:48.328333332,0,2
3,2017-10-23 00:01:12.492499998,0,3
4,2017-10-23 00:01:36.656666664,0,4
5,2017-10-23 00:02:00.820833330,0,5
6,2017-10-23 00:02:24.984999996,0,6
7,2017-10-23 00:02:49.149166662,0,7
8,2017-10-23 00:03:13.313333328,0,8
9,2017-10-23 00:03:37.477499994,0,9
10,2017-10-23 00:04:01.641666660,0,10
11,2017-10-23 00:04:25.805833326,0,11
12,2017-10-23 00:04:49.969999992,0,12
13,2017-10-23 00:05:14.134166658,0,13
14,2017-10-23 00:05:38.298333324,0,14
15,2017-10-23 00:06:02.462499990,0,15
16,2017-10-23 00:06:26.626666656,0,16
17,2017-10-23 00:06:50.790833322,0,17
18,2017-10-23 00:07:14.954999988,0,18
19,2017-10-23 00:07:39.119166654,0,19
20,2017-10-23 00:08:03.283333320,0,20
21,2017-10-23 00:08:27.447499986,0,21
22,2017-10-23 00:08:51.611666652,0,22
23,2017-10-23 00:09:15.775833318,0,23
24,2017-10-23 00:09:39.939999984,0,24
25,2017-10-23 00:10:04.104166650,0,25
26,2017-10-23 00:10:28.268333316,0,26
27,2017-10-23 00:10:52.432499982,0,27
28,2017-10-23 00:11:16.596666648,0,28
29,2017-10-23 00:11:40.760833314,0,29
30,2017-10-23 00:12:04.924999980,0,30
31,2017-10-23 00:12:29.089166646,0,31
32,2017-10-23 00:12:53.253333312,0,32
33,2017-10-23 00:13:17.417499978,0,33
34,2017-10-23 00:13:41.581666644,0,34
35,2017-10-23 00:14:05.745833310,0,35
36,2017-10-23 00:14:29.909999976,0,36
37,2017-10-23 00:14:54.074166642,0,37
38,2017-10-23 00:15:18.238333308,0,38
39,2017-10-23 00:15:42.402499974,0,39
40,2017-10-23 00:16:06.566666640,0,40
41,2017-10-23 00:16:30.730833306,0,41
42,2017-10-23 00:16:54.894999972,0,42
43,2017-10-23 00:17:19.059166638,0,43
44,2017-10-23 00:17:43.223333304,0,44
45,2017-10-23 00:18:07.387499970,0,45
46,2017-10-23 00:18:31.551666636,0,46
47,2017-10-23 00:18:55.715833302,0,47
48,2017-10-23 00:19:19.879999968,0,48
49,2017-10-23 00:19:44.044166634,0,49
50,2017-10-23 00:20:08.208333300,0,50
51,2017-10-23 00:20:32.372499966,0,51
52,2017-10-23 00:20:56.536666632,0,52
53,2017-10-23 00:21:20.700833298,0,53
54,2017-10-23 00:21:44.864999964,0,54
55,2017-10-23 00:22:09.029166630,0,55
56,2017-10-23 00:22:33.193333296,0,56
57,2017-10-23 00:22:57.357499962,0,57
58,2017-10-23 00:23:21.521666628,0,58
59,2017-10-23 00:23:45.685833294,0,59
60,2017-10-23 00:24:09.849999960,0,60
61,2017-10-23 00:24:34.014166626,0,61
62,2017-10-23 00:24:58.178333292,0,62
63,2017-10-23 00:25:22.342499958,0,63
64,2017-10-23 00:25:46.506666624,0,64
65,2017-10-23 00:26:10.670833290,0,65
66,2017-10-23 00:26:34.834999956,0,66
67,2017-10-23 00:26:58.999166622,0,67
