,time,count,frame
138,2017-10-23 00:55:34.654999908,616,138
139,2017-10-23 00:55:58.819166574,618,139
140,2017-10-23 00:56:22.983333240,612,140
141,2017-10-23 00:56:47.147499906,612,141
142,2017-10-23 00:57:11.311666572,613,142
143,2017-10-23 00:57:35.475833238,609,143
144,2017-10-23 00:57:59.639999904,612,144
145,2017-10-23 00:58:23.804166570,598,145
146,2017-10-23 00:58:47.968333236,601,146
147,2017-10-23 00:59:12.132499902,588,147
148,2017-10-23 00:59:36.296666568,589,148
149,2017-10-23 01:00:00.460833234,621,149
150,2017-10-23 01:00:24.624999900,613,150
151,2017-10-23 01:00:48.789166566,614,151
152,2017-10-23 01:01:12.953333232,608,152
153,2017-10-23 01:01:37.117499898,608,153
154,2017-10-23 01:02:01.281666564,602,154
155,2017-10-23 01:02:25.445833230,600,155
156,2017-10-23 01:02:49.609999896,601,156
157,2017-10-23 01:03:13.774166562,607,157
158,2017-10-23 01:03:37.938333228,603,158
159,2017-10-23 01:04:02.102499894,605,159
160,2017-10-23 01:04:26.266666560,603,160
161,2017-10-23 01:04:50.430833226,603,161
162,2017-10-23 01:05:14.594999892,615,162
163,2017-10-23 01:05:38.759166558,610,163
164,2017-10-23 01:06:02.923333224,611,164
165,2017-10-23 01:06:27.087499890,609,165
166,2017-10-23 01:06:51.251666556,613,166
167,2017-10-23 01:07:15.415833222,607,167
168,2017-10-23 01:07:39.579999888,607,168
169,2017-10-23 01:08:03.744166554,601,169
170,2017-10-23 01:08:27.908333220,595,170
171,2017-10-23 01:08:52.072499886,598,171
172,2017-10-23 01:09:16.236666552,587,172
173,2017-10-23 01:09:40.400833218,589,173
174,2017-10-23 01:10:04.564999884,601,174
175,2017-10-23 01:10:28.729166550,596,175
176,2017-10-23 01:10:52.893333216,598,176
177,2017-10-23 01:11:17.057499882,591,177
178,2017-10-23 01:11:41.221666548,594,178
179,2017-10-23 01:12:05.385833214,587,179
180,2017-10-23 01:12:29.549999880,584,180
181,2017-10-23 01:12:53.714166546,588,181
182,2017-10-23 01:13:17.878333212,579,182
183,2017-10-23 01:13:42.042499878,583,183
184,2017-10-23 01:14:06.206666544,574,184
185,2017-10-23 01:14:30.370833210,572,185
186,2017-10-23 01:14:54.534999876,573,186
187,2017-10-23 01:15:18.699166542,575,187
188,2017-10-23 01:15:42.863333208,573,188
189,2017-10-23 01:16:07.027499874,573,189
190,2017-10-23 01:16:31.191666540,572,190
191,2017-10-23 01:16:55.355833206,572,191
192,2017-10-23 01:17:19.519999872,567,192
193,2017-10-23 01:17:43.684166538,567,193
194,2017-10-23 01:18:07.848333204,561,194
195,2017-10-23 01:18:32.012499870,562,195
196,2017-10-23 01:18:56.176666536,563,196
197,2017-10-23 01:19:20.340833202,551,197
198,2017-10-23 01:19:44.504999868,551,198
199,2017-10-23 01:20:08.669166534,561,199
200,2017-10-23 01:20:32.833333200,559,200
201,2017-10-23 01:20:56.997499866,556,201
202,2017-10-23 01:21:21.161666532,560,202
203,2017-10-23 01:21:45.325833198,561,203
204,2017-10-23 01:22:09.489999864,548,204
205,2017-10-23 01:22:33.654166530,547,205
206,2017-10-23 01:22:57.818333196,546,206
207,2017-10-23 01:23:21.982499862,536,207
208,2017-10-23 01:23:46.146666528,539,208
209,2017-10-23 01:24:10.310833194,537,209
210,2017-10-23 01:24:34.474999860,535,210
211,2017-10-23 01:24:58.639166526,534,211
212,2017-10-23 01:25:22.803333192,530,212
213,2017-10-23 01:25:46.967499858,529,213
214,2017-10-23 01:26:11.131666524,526,214
215,2017-10-23 01:26:35.295833190,522,215
216,2017-10-23 01:26:59.459999856,523,216
217,2017-10-23 01:27:23.624166522,520,217
218,2017-10-23 01:27:47.788333188,515,218
219,2017-10-23 01:28:11.952499854,502,219
220,2017-10-23 01:28:36.116666520,504,220
221,2017-10-23 01:29:00.280833186,499,221
222,2017-10-23 01:29:24.444999852,498,222
223,2017-10-23 01:29:48.609166518,498,223
224,2017-10-23 01:30:12.773333184,489,224
225,2017-10-23 01:30:36.937499850,487,225
226,2017-10-23 01:31:01.101666516,489,226
227,2017-10-23 01:31:25.265833182,486,227
228,2017-10-23 01:31:49.429999848,486,228
229,2017-10-23 01:32:13.594166514,476,229
230,2017-10-23 01:32:37.758333180,473,230
231,2017-10-23 01:33:01.922499846,470,231
232,2017-10-23 01:33:26.086666512,468,232
233,2017-10-23 01:33:50.250833178,469,233
234,2017-10-23 01:34:14.414999844,463,234
235,2017-10-23 01:34:38.579166510,462,235
236,2017-10-23 01:35:02.743333176,463,236
237,2017-10-23 01:35:26.907499842,461,237
238,2017-10-23 01:35:51.071666508,463,238
239,2017-10-23 01:36:15.235833174,460,239
240,2017-10-23 01:36:39.399999840,457,240
241,2017-10-23 01:37:03.564166506,447,241
242,2017-10-23 01:37:27.728333172,443,242
243,2017-10-23 01:37:51.892499838,442,243
244,2017-10-23 01:38:16.056666504,431,244
245,2017-10-23 01:38:40.220833170,429,245
246,2017-10-23 01:39:04.384999836,424,246
247,2017-10-23 01:39:28.549166502,419,247
248,2017-10-23 01:39:52.713333168,419,248
249,2017-10-23 01:40:16.877499834,418,249
250,2017-10-23 01:40:41.041666500,416,250
251,2017-10-23 01:41:05.205833166,409,251
252,2017-10-23 01:41:29.369999832,407,252
253,2017-10-23 01:41:53.534166498,407,253
254,2017-10-23 01:42:17.698333164,395,254
255,2017-10-23 01:42:41.862499830,395,255
256,2017-10-23 01:43:06.026666496,389,256
257,2017-10-23 01:43:30.190833162,387,257
258,2017-10-23 01:43:54.354999828,386,258
259,2017-10-23 01:44:18.519166494,384,259
260,2017-10-23 01:44:42.683333160,384,260
261,2017-10-23 01:45:06.847499826,386,261
262,2017-10-23 01:45:31.011666492,385,262
263,2017-10-23 01:45:55.175833158,387,263
264,2017-10-23 01:46:19.339999824,387,264
265,2017-10-23 01:46:43.504166490,386,265
266,2017-10-23 01:47:07.668333156,378,266
267,2017-10-23 01:47:31.832499822,377,267
268,2017-10-23 01:47:55.996666488,376,268
269,2017-10-23 01:48:20.160833154,372,269
270,2017-10-23 01:48:44.324999820,371,270
271,2017-10-23 01:49:08.489166486,364,271
272,2017-10-23 01:49:32.653333152,362,272
273,2017-10-23 01:49:56.817499818,362,273
274,2017-10-23 01:50:20.981666484,359,274
275,2017-10-23 01:50:45.145833150,359,275
276,2017-10-23 01:51:09.309999816,358,276
277,2017-10-23 01:51:33.474166482,357,277
278,2017-10-23 01:51:57.638333148,357,278
279,2017-10-23 01:52:21.802499814,354,279
280,2017-10-23 01:52:45.966666480,354,280
281,2017-10-23 01:53:10.130833146,350,281
282,2017-10-23 01:53:34.294999812,347,282
283,2017-10-23 01:53:58.459166478,344,283
284,2017-10-23 01:54:22.623333144,341,284
285,2017-10-23 01:54:46.787499810,341,285
286,2017-10-23 01:55:10.951666476,341,286
287,2017-10-23 01:55:35.115833142,338,287
288,2017-10-23 01:55:59.279999808,339,288
289,2017-10-23 01:56:23.444166474,336,289
290,2017-10-23 01:56:47.608333140,335,290
291,2017-10-23 01:57:11.772499806,333,291
292,2017-10-23 01:57:35.936666472,334,292
293,2017-10-23 01:58:00.100833138,331,293
294,2017-10-23 01:58:24.264999804,332,294
295,2017-10-23 01:58:48.429166470,330,295
296,2017-10-23 01:59:12.593333136,324,296
297,2017-10-23 01:59:36.757499802,323,297
298,2017-10-23 02:00:00.921666468,324,298
299,2017-10-23 02:00:25.085833134,319,299
300,2017-10-23 02:00:49.249999800,319,300
301,2017-10-23 02:01:13.414166466,313,301
302,2017-10-23 02:01:37.578333132,313,302
303,2017-10-23 02:02:01.742499798,308,303
304,2017-10-23 02:02:25.906666464,306,304
305,2017-10-23 02:02:50.070833130,306,305
306,2017-10-23 02:03:14.234999796,311,306
307,2017-10-23 02:03:38.399166462,310,307
308,2017-10-23 02:04:02.563333128,306,308
309,2017-10-23 02:04:26.727499794,305,309
310,2017-10-23 02:04:50.891666460,305,310
311,2017-10-23 02:05:15.055833126,301,311
312,2017-10-23 02:05:39.219999792,301,312
313,2017-10-23 02:06:03.384166458,301,313
314,2017-10-23 02:06:27.548333124,301,314
315,2017-10-23 02:06:51.712499790,300,315
